DATOS DEL ROVER							DATOS DE LA BASE			
										
X	Y	nT	sq	cor-nT	time		/time	nT	sq	
0	0	31320.52	99	0	95441.9		101942	31322.42	56	
0	0	31322.45	99	0	100143.5		101952	31321.94	79	
-5	0	31325.3	59	0	100452.9		102002	31323	69	
-5	0	31324	99	0	100724.9		102012	31323.94	69	
-5	0	31322.89	99	0	100829.2		102022	31322.62	78	
0	0	31323.47	79	0	100856.3		102032	31323.46	79	
-5	0	31324.39	99	0	100949.7		102042	31322.43	68	
0	0	31323.97	99	0	101050.8		102052	31323.04	68	
5	0	31323.28	99	0	101115.2		102102	31322.76	57	
10	0	31322.18	99	0	101137.7		102112	31323.67	89	
15	0	31320.15	99	0	101156.5		102122	31323.92	98	
20	0	31320.97	99	0	101215.6		102132	31323.31	88	
25	0	31319.93	99	0	101236.3		102142	31323.59	98	
30	0	31320.02	99	0	101257.9		102152	31323.65	96	
35	0	31318.72	99	0	101315.1		102202	31323.67	98	
40	0	31318.65	99	0	101331.9		102212	31323.69	78	
45	0	31317.07	99	0	101353.3		102222	31324.3	88	
50	0	31316.67	99	0	101415.7		102232	31323.62	98	
55	0	31315.7	99	0	101433.5		102242	31323.44	89	
55	0	31316.26	99	0	101503.2		102252	31324.7	99	
60	0	31315.1	99	0	101520.9		102302	31322.87	98	
65	0	31315.15	99	0	101540.3		102312	31324.06	98	
70	0	31313.65	99	0	101600.5		102322	31322.93	79	
75	0	31312.59	99	0	101615.5		102332	31324.38	88	
80	0	31312.92	99	0	101644.4		102342	31323.39	98	
85	0	31312.49	99	0	101707.9		102352	31323.99	98	
90	0	31311.69	99	0	101723.9		102402	31324.08	99	
95	0	31309.21	99	0	101742.8		102412	31324.03	89	
100	0	31307.14	89	0	101829.9		102422	31323.34	88	
105	0	31303.72	99	0	101846.8		102432	31323.73	99	
110	0	31306.16	99	0	101922.6		102442	31324.06	99	
110	5	31305.42	99	0	102316.9		102452	31323.49	99	
105	5	31300.02	99	0	102350.3		102502	31324.19	79	
100	5	31300.91	99	0	102416.8		102512	31324.2	99	
95	5	31299.15	99	0	102440.7		102522	31323.91	99	
90	5	31299.91	69	0	102457.4		102532	31324.48	79	
85	5	31295.89	99	0	102533.8		102542	31324.06	98	
80	5	31302.57	99	0	102553.4		102552	31323.06	79	
75	5	31303.48	99	0	102618.4		102602	31324.55	89	
70	5	31302.14	99	0	102640.9		102612	31324.82	78	
65	5	31303.46	99	0	102655.9		102622	31324.36	89	
60	5	31306.74	99	0	102737.7		102632	31324.27	99	
55	5	31308.83	99	0	102835.4		102642	31324.3	88	
50	5	31304.69	59	0	102855.6		102652	31325.5	99	
45	5	31303.04	99	0	102920.9		102702	31324.33	98	
40	5	31306.36	99	0	102935.9		102712	31323.84	78	
35	5	31304.4	99	0	102956.5		102722	31324.58	99	
30	5	31303.07	99	0	103018.1		102732	31324.85	97	
25	5	31302.69	59	0	103032.2		102742	31324.17	98	
20	5	31304.27	99	0	103055.2		102752	31325.23	98	
15	5	31305.91	99	0	103113.7		102802	31324.56	87	
10	5	31309.02	98	0	103128.8		102812	31325.01	99	
5	5	31314.01	99	0	103155		102822	31324.67	98	
0	5	31313.89	99	0	103214.8		102832	31325.55	98	
0	10	31319.79	99	0	103426.8		102842	31325.72	78	
5	10	31306.94	99	0	103618.8		102852	31324.62	88	
10	10	31317.28	99	0	103653.2		102902	31325.06	98	
15	10	31316.41	99	0	103734.5		102912	31324.79	98	
20	10	31316.37	99	0	103747.7		102922	31326.19	88	
25	10	31311.57	99	0	103759.5		102932	31325	98	
30	10	31314.43	99	0	103812.8		102942	31324.61	97	
35	10	31313.99	99	0	103827.4		102952	31324.83	98	
40	10	31311.93	99	0	103838.2		103002	31324.82	88	
45	10	31307.37	99	0	103900.1		103012	31324.59	98	
50	10	31308.98	59	0	103918.2		103022	31324.86	97	
55	10	31309.52	99	0	103932.1		103032	31324.94	98	
60	10	31307.33	99	0	103945.3		103042	31324.72	98	
65	10	31298.03	89	0	104056.2		103052	31325.65	99	
70	10	31299.54	99	0	104114.6		103102	31324.83	99	
75	10	31302.86	99	0	104134.3		103112	31325.22	98	
80	10	31303.99	99	0	104347.4		103122	31325.46	98	
85	10	31310.2	99	0	104405.9		103132	31325.54	78	
90	10	31313.43	99	0	104421.1		103142	31325.51	98	
95	10	31310.4	99	0	104445.2		103152	31325.41	98	
100	10	31302.15	99	0	104525.9		103202	31325.58	89	
100	15	31300.07	69	0	104604.9		103212	31325.33	88	
95	15	31298.23	99	0	104627.1		103222	31324.35	88	
90	15	31293.21	99	0	104638.6		103232	31325.29	79	
85	15	31299.53	99	0	104651.7		103242	31325.33	98	
80	15	31300.75	99	0	104705.4		103252	31324.77	98	
75	15	31297.51	99	0	104733.5		103302	31325.66	98	
70	15	31302.3	99	0	104748.5		103312	31325.57	89	
65	15	31298.22	99	0	104802.8		103322	31324.78	99	
60	15	31300.26	99	0	104814.6		103332	31324.52	88	
55	15	31298.85	99	0	104829.7		103342	31325	79	
50	15	31244.2	99	0	104841		103352	31325.04	98	
45	15	31298.4	99	0	104914.6		103402	31324.93	98	
40	15	31303.93	99	0	104944.7		103412	31325.19	78	
35	15	31298.78	99	0	105005.9		103422	31325.52	99	
30	15	31299.52	99	0	105024.3		103432	31324.73	78	
25	15	31299.19	99	0	105037.8		103442	31325.24	89	
20	15	31302.77	99	0	105053.4		103452	31325.47	88	
15	15	31303.85	99	0	105120.5		103502	31325.62	78	
10	15	31308.54	99	0	105137.9		103512	31326.05	99	
5	15	31305.33	99	0	105156.6		103522	31326.12	98	
0	15	31307.37	59	0	105215		103532	31326.16	98	
0	20	31307.75	99	0	105423.3		103542	31326.35	99	
5	20	31313.13	99	0	105523.8		103552	31325.67	99	
10	20	31315.5	99	0	105540		103602	31325.44	98	
15	20	31311.17	99	0	105554.2		103612	31326.93	99	
20	20	31313.15	99	0	105619.9		103622	31325.77	98	
25	20	31307.08	99	0	105635.5		103632	31325.87	99	
30	20	31308.14	99	0	105650.7		103642	31326.12	88	
35	20	31303.73	99	0	105711.8		103652	31326.47	99	
40	20	31310.88	99	0	105727.2		103702	31325.85	99	
45	20	31305.69	99	0	105741.9		103712	31325.94	98	
50	20	31305.47	89	0	105757		103722	31325.53	88	
55	20	31305.29	99	0	105812.3		103732	31325.6	88	
60	20	31305.31	99	0	105828.9		103742	31325.88	99	
65	20	31299.35	99	0	105844.8		103752	31326.81	99	
70	20	31306.91	99	0	105901.9		103802	31326.55	88	
75	20	31305.65	99	0	105918.1		103812	31326.6	78	
80	20	31296.82	99	0	105939.1		103822	31325.68	78	
85	20	31305.27	99	0	110050.1		103832	31326.32	88	
90	20	31306.3	99	0	110107.4		103842	31325.89	98	
95	20	31304.8	99	0	110126.4		103852	31325.53	99	
100	20	31305.28	99	0	110143.8		103902	31325.53	98	
100	25	31302.92	99	0	110727.6		103912	31326.24	99	
95	25	31308.12	99	0	110848.9		103922	31325.73	68	
90	25	31306.6	99	0	110904.9		103932	31327.18	97	
85	25	31304.51	98	0	110918.3		103942	31324.76	98	
80	25	31307.28	89	0	110932.6		103952	31325.64	99	
75	25	31303.03	99	0	110956.7		104002	31325.53	98	
70	25	31307.03	99	0	111011.6		104012	31326.47	79	
65	25	31303.81	99	0	111025.3		104022	31326.07	98	
60	25	31302.66	99	0	111040.5		104032	31325.71	88	
55	25	31301.29	99	0	111057.4		104042	31325.73	99	
50	25	31305.12	99	0	111116.1		104052	31325.85	99	
45	25	31307.76	99	0	111139.8		104102	31325.88	78	
40	25	31313.19	99	0	111154.1		104112	31325.5	98	
35	25	31309.87	99	0	111207.7		104122	31325.98	89	
30	25	31310.5	99	0	111222.6		104132	31326.58	78	
25	25	31312.88	99	0	111236.9		104142	31325.95	87	
20	25	31309.09	99	0	111252.2		104152	31325.49	98	
							104202	31326.54	89	
							104212	31326.83	97	
							104222	31326.22	89	
							104232	31326.95	79	
							104242	31325.71	77	
							104252	31325.29	87	
							104302	31325.79	98	
							104312	31325.8	88	
							104322	31325.58	97	
							104332	31326.32	78	
							104342	31325.81	98	
							104352	31325.96	98	
							104402	31326.73	78	
							104412	31327.07	79	
							104422	31326.35	88	
							104432	31325.85	88	
							104442	31326.49	98	
							104452	31326.83	87	
							104502	31326.17	98	
							104512	31325.72	98	
							104522	31326.44	98	
							104532	31325.79	99	
							104542	31326.68	88	
							104552	31326.54	97	
							104602	31325.96	98	
							104612	31326.29	98	
							104622	31326.83	78	
							104632	31326.64	98	
							104642	31326.22	99	
							104652	31326.47	99	
							104702	31326.44	88	
							104712	31327.01	98	
							104722	31326.93	99	
							104732	31326.33	78	
							104742	31326.57	98	
							104752	31325.79	98	
							104802	31325.95	98	
							104812	31326.72	98	
							104822	31327.66	78	
							104832	31326.68	98	
							104842	31328.86	99	
							104852	31327.43	99	
							104902	31326.52	98	
							104912	31326.61	88	
							104922	31326.56	99	
							104932	31326.41	77	
							104942	31327.15	79	
							104952	31327.42	87	
							105002	31327.35	98	
							105012	31325.51	77	
							105022	31327.39	88	
							105032	31327.17	98	
							105042	31325.86	97	
							105052	31326.64	98	
							105102	31325.71	67	
							105112	31326.55	98	
							105122	31325.99	99	
							105132	31325.99	98	
							105142	31326.36	88	
							105152	31326.03	98	
							105202	31326.02	79	
							105212	31327.75	69	
							105222	31327.31	87	
							105232	31326.1	77	
							105242	31326.75	78	
							105252	31326.94	78	
							105302	31326.65	78	
							105312	31327.39	98	
							105322	31326.43	78	
							105332	31326.3	78	
							105342	31326.9	78	
							105352	31325.79	97	
							105402	31326.58	77	
							105412	31326.83	98	
							105422	31327.17	88	
							105432	31326.25	98	
							105442	31326.76	97	
							105452	31328.13	88	
							105502	31326.38	98	
							105512	31327.56	88	
							105522	31326.79	88	
							105532	31327.56	99	
							105542	31326.15	98	
							105552	31327.56	98	
							105602	31327.41	87	
							105612	31327.09	99	
							105622	31327.21	98	
							105632	31326.67	97	
							105642	31326.34	97	
							105652	31326.78	97	
							105702	31327.27	97	
							105712	31326.56	97	
							105722	31327.6	78	
							105732	31327.73	67	
							105742	31327.22	67	
							105752	31327.59	88	
							105802	31326.39	98	
							105812	31327.22	78	
							105822	31327.21	97	
							105832	31327.91	97	
							105842	31327.53	89	
